ancen,memang
ancok,jancuk
ancoor,hancur
ancur,hancur
marahin,marahi
anda,kamu
andaa,kamu
yaelahhh,yaelah
ane,aku
yah,ya
masadepaan,masa depan
yahhhh,yah
anehdidunia,aneh di dunia
masalalu,masa lalu
masalalunya,masa lalunya
yahudilik,yahudi
yahut,hebat
yaiyalah,ya iyalah
yak,ya
masi,masih
anggotadpr,anggota dewan perwakilan rakyat
mash,masih
angkrem,mengerami
yakini,yaitu
masio,masih
yall,yel
anj,anjing
yanag,yang
anjeng,anjing
anjer,anjir
anjg,anjing
masy,masyarakat
matalu,matamu
matanajwadebatjakarta,mata najwa debat jakarta
matane,matanya
mataq,mataku
yas,ya
mateni,mematikan
matii,mati
yauda,ya sudah
yaudah,ya sudah
anjirr,anjir
mauk,mau
maunggg,maung
yaysn,yayasan
ye,iya
anjyng,anjing
yeaa,ya
mawaslahdirisebelumbertindak,mawaslah diri sebelum bertindak
maxx,max
mayan,lumayan
yee,iya
anonim,anonymous
mayorita,mayoritas
maz,mas
ansor,ansar
mayong,mahyong
mba,mbak
yell,yel
antarabangsa,antara bangsa
yes,iya
yeuh,jijik
antijil,anti jaringan islam liberal
antikomunis,anti komunis
yg,yang
yh,ya
mbangun,membangun
antisyiah,anti syiah
mbangsat,bangsat
yha,ya
ylbhi,yayasan lembaga bantuan hukum indonesia
antraksi,atraksi
antri,antre
mbelek,tai
antum,kalian
yng,yang
antiterorisme,anti terorisme
mbangunjatengmuktibareng,mbangun jateng mukti bareng
yo,iya
mboten,tidak
anying,anjing
anyingg,anjing
mbuat,membuat
anzing,anjing
yoj,iya
ap,apa
mca,muslim cyber army
yok,ayo
mcd,mc donalds
mcm,macam
apaaaaa,apa
youre,you are
apaaan,apaan
youself,yourself
mecah,memecahkan
apaapun,apapun
medeka,merdeka
apain,apakan
yowis,ya sudah
yoy,iya
apakabar,apa kabar
medsos,media sosial
medsosan,bermedia sosial
apal,hafal
apalg,apa lagi
yubaarik,yubarik
yuk,ayo
yukk,ayo
meikartagate,meikarta gate
meikerta,meikarta
apbd,anggaran pendapatan dan belanja daerah
mekah,makkah
ape,apa
yuks,ayo
apelancau,ape lancau
apk,apakah
apkah,apakah
yutuber,youtuber
melecekan,melecehkan
meleduk,meledak
meledakan,meledakkan
apkh,apakah
aplg,apa lagi
melu,ikut
apo,apa
apus,hapus
apussssssssssssss,hapus
aq,aku
membleh,memble
memblow,memble
zhalim,zalim
zionist,zionis
zmn,zaman
memekin,memek
arep,mau
zonk,apes
zonkey,monyet
memengusir,mengusir
memfitna,memfitnah
arut,larut
memperbaikin,memperbaiki
asalbukanjokowi,asal bukan jokowi
mempercayai,memercayai
asbun,asal bunyi
memperkosa,memerkosa
asek,asyik
aselik,asli
aseng,asing
menag,menteri agama
menagama,menteri agama
menaikan,menaikkan
menampakan,menampakkan
menangin,memenangkan
asik,asyik
mencalon,mencalonkan
mendagri,menteri dalam negeri
ask,tanya
mendingan,lebih baik
menelfon,menelepon
menfitnah,memfitnah
assassinations,assassination
mengajari,mengajarkan
mengandun,mengandung
mengcounter,mengonter
astagfirlloh,astagfirullah
mengexpose,mengekspose
astaghfirullah,astagfirullah
menggenapka,menggenapkan
menggerakan,menggerakkan
asu,anjing
menghimbau,mengimbau
asuog,anjing
asuu,anjing
mengintruksikan,menginstruksikan
mengkriminilisisi,mengkriminalisasi
asyikm,asyik
atao,atau
atarturk,ataturk
menimal,minimal
ateknya,anteknya
atheis,ateis
atheisdete,ateis mati
atheist,ateis
ati,hati
menjijikan,menjijikkan
menjukkan,menunjukkan
atlit,atlet
ato,atau
menkominfo,menteri komunikasi dan informasi
menkumham,menteri hukum dan hak asasi manusia
atuhlah,atuh lah
mensiasati,menyiasati
atw,atau
mensos,menteri sosial
aulyaa,auliya
au,tau
mensukseskan,menyukseskan
mentalita,mentalitas
awek,wanita
mention,mention
korengan,lubang
mentri,menteri
ayah,bapak
menyelematkan,menyelamatkan
aye,aku
ayoh,ayo
ayohbangsa,ayo bangsa
mepo,meeting point
merajalele,merajalela
ayoo,ayo
merentas,meretas
aza,saja
meriksa,memeriksa
azhan,azan
merit,menikah
merk,merek
merka,mereka
baaaaa,ah
merubah,mengubah
mesantren,memondok di pesantren
mesih,masih
babangnya,abangnya
babihok,babi ahok
mesti,harus
backstage,back stage
bacod,bacot
bacotin,bacot
mgkin,mungkin
mgkn,mungkin
sreg,suka
baduy,badui
bae,saja
miara,memelihara
bagaiamana,bagaimana
bagaimna,bagaimana
mikir,berpikir
mikirdaaingmah,aku berpikir
mikirin,memikirkan
baguss,bagus
mikirnya,memikirnya
milih,memilih
bahong,bohong
mimin,admin
baidab,biadab
minggato,minggat lah
mingkem,diam
bakalan,akan
minta,meminta
minumkopiindonesia,minum kopi indonesia
miras,minuman keras
bales,balas
lagian,lagi
balesnya,balasnya
balikin,kembalikan
balikinkesolo,balikan ke solo
mjadi,menjadi
mjd,menjadi
mjln,menjalankan
mka,maka
bangat,banget
mklumin,memaklumkan
mkn,makan
mkne,makna
mknya,makanya
mlah,malah
mlarang,melarang
banggain,banggakan
mlh,malah
bangke,bangkai
mliat,melihat
mlihat,melihat
bangkitin,membangkitkan
mlm,malam
mlorot,melorot
bangsaatt,bangsat
bangsad,bangsat
bangsatdi,bangsat di
mmbawa,membawa
mmberantas,memebrantas
x,kali
bangzat,bangsat
mmbunuh,membunuh
banser,barisan serba guna
mmg,memang
mmcah,memecah
mmpraktekkannya,mempraktikannya
banyok,banyak
mnang,menang
mnding,lebih baik
barangsiapa,barang siapa
taunya,tau
bareskrim,badan reserse kriminal
mne,mana
barokalloh,barakallah
bat,banget
mnggiring,menggiring
mnggunakan,menggunakan
mnghalangi,menghalangi
bawak,bawa
bay,selamat tinggal
mngkin,mungkin
mngkn,mungkin
bayarin,bayarkan
bayk,baik
mngusir,mengusir
bbm,bahan bakar minyak
mnjadi,menjadi
mnjaga,menjaga
bbrp,beberapa
bbrpa,beberapa
bbrpx,beberapa kali
bc,baca
bca,baca
mnrt,menurut
mnurut,menurut
bearti,berarti
mnyebabkn,menyebabkan
beauty,cantik
beb,sayang
mo,mau
beca,becak
moden,modern
moga,semoga
beer,bir
mohd,muhammad
begenean,beginian
mojok,memojok
begok,bego
bejad,bejat
bejo,beruntung
bekerjasama,bekerja sama
bekuasa,berkuasa
morfotin,morfin
belagu,belaga
mositidakpercaya,mosi tidak percaya
belain,membela
mosok,masa
most,paling
belgium,belgia
beliau,dia
motong,memotong
belina,belinya
move,pindah
movie,film
mpok,empok
mpr,majelis permusyawaratan rakyat
belom,belum
belokin,belokkan
mrah,marah
mrasa,merasa
mreka,mereka
benc,bench
bencar,bentar
mripate,matanya
mrk,mereka
mrka,mereka
mrngakui,mengakui
beneer,benar
bener,benar
beneran,benaran
benerannya,benarannya
mry,marry
benerpun,benarpun
msg,masing
msh,masih
msi,masih
bengitu,begitu
msjid,masjid
bennett,bennet
msk,masuk
msih,masih
mskipun,meskipun
berabtad,berabad
beraktifitas,beraktivitas
msyarakat,masyarakat
berantem,bertengkar
berati,berarti
berattt,berat
berbahay,berbahaya
muadzin,muazin
muakmuakmuak,muak muak muak
ngusir,usir
mudbus,penyemangat
muhammadi,muhammad
beribadat,beribadah
mui,majelis ulama indonesia
muke,muka
mukenya,mukanya
multifandom,multi fandom
berjamaah,berjemaah
berjamaahcoblospecinya,berjemaah coblos pecinya
berkerja,bekerja
berkesinabungan,berkesinambungan
munafikk,munafik
munafikun,munafik
munafiq,munafik
munafiqun,munafik
munaslub,musyawarah luar biasa
muncungnya,mancungnya
munyeng,puyeng
murtadz,murtad
musholla,musala
music,musik
bertanggungjawab,bertanggung jawab
bertatto,bertato
musti,harus
musuhi,memusuhi
musuhin,memusuhi
muter,memuter
bet,banget
mw,mau
betol,betul
betoll,betul
myamar,myanmar
nebeng,ikut
betul,benar
n,dan
na,nya
bewok,berewok
beye,susilo bambang yudhoyono
bg,bagi
nabrak,menabrak
bgd,banget
bgitu,begitu
bgm,bagaimana
bgmn,bagaimana
naek,naik
naekin,naikan
bgs,bagus
bgsd,bangsat
bgst,bangsat
bgstt,bangsat
bgstttttttt,bangsat
bgt,banget
nahdatul,nahdlatul ulama
bgtu,begitu
nahh,nah
bgtxx,banget
naikin,naikan
naiking,naikan
bhahahaha,haha
najiiiiiiiiiiiis,najis
bhasil,berhasil
a,aduk
bhinneka,bineka
bhkan,bahkan
bhkn,bahkan
bhs,bahasa
bhuakakakaka,haha
bhw,bahwa
biadap,biadab
biadb,biadab
biangnya,biangnya
biarin,biarkan
biasaaa,biasa
biasaaaa,biasa
namax,namanya
nambah,menambah
bibib,habib
nambang,menambang
name,nama
bicarapolitik,bicara politik
nampak,menampak
nampang,tampang
bijb,bandara internasional jawa barat
bijimane,bagaimana
nancepin,menancapkan
bikhsu,biksu
bikin,buat
bikinan,buatan
nanganin,menangani
nang,di
nanggapin,menanggapi
bilangin,bilang
nangis,menangis
bill,bon
nangislaj,menangislah
nangisss,menangis
nangkep,menangkap
bingit,banget
nantang,menantang
nantangin,menantang
nanya,bertanya
biruadanya,biru adanya
naon,apa
napa,kenapa
napadah,apa dah
bk,buku
narik,menarik
naroh,menaruh
bkalan,akan
bkan,bukan
narsum,narasumber
bkin,buat
nasdem,nasional demokrat
bkn,bukan
bknnya,bukannya
blaaa,bla
nasomalisdan,nasionalisme dan
blablabla,bla bla bla
blajar,belajar
nate,ate
blatung,belatung
blbi,bantuan likuiditas bank indonesia
blegug,bodoh
blg,bilang
blh,boleh
bli,beli
blm,belum
bln,bulan
blng,bilang
block,blok
blocked,blokir
blom,belum
bloon,beloon
blum,belum
blusukanahok,blusukan ahok
bner,benar
diapa,apa
bneran,benar
bnn,badan narkotika nasional
bnpt,badan nasional penanggulangan terorisme
bnr,benar
bnran,benaran
bnrn,benaran
bny,bothnewyear
bnyak,banyak
bnyk,banyak
bocahh,anak kecil
bodat,monyet
bodo,bodoh
boikotindosat,boikot indosat
boikotprodukchina,boikot produk cina
ncib,persib
bolang,anak petualang
bole,boleh
nda,tidak
bondo,harta
bong,kecebong
bonggg,kecebong
ndak,tidak
boongin,bohongi
ndan,dan
ngurangin,kurang
ndasmu,kepala kamu
ndayak,dayak
ndek,dik
ndelok,lihat
bosok,busuk
nderekgusmus,ikut gus mus
ndeso,kampungan
ndewek,sendiri
botul,betul
ndhog,telur
bovendigul,boven digoel
kebuka,buka
bpk,bapak
ndisiti,mendahului
ndk,tidak
br,baru
ndoweh,dower
brainwash,cuci otak
ndower,dower
brand,merek
brani,berani
braninya,beraninya
brarti,berarti
brasa,berasa
bravoo,bravo
ndut,gendut
ne,ini
nebarkan,menebarkan
neg,tawar
brekekekekek,wkwk
brengsek,berengsek
negeti,negeri
brengset,berengsek
brent,berhenti
negri,negeri
neh,nih
brgkali,barangkali
neken,menandatangani
nelen,menelan
brisek,berisik
brisik,berisik
nelpon,menelpon
brita,berita
nemen,banget
nemenin,menemani
nempo,tempo
nemu,menemukan
brli,beli
brngsekkkk,brengsek
nenggolan,nainggolan
brni,berani
nentuin,menentukan
brondong,berondong
broo,bro
brooh,bro
brosing,browsing
brp,berapa
nervous,grogi
brpkir,berpikir
netes,menetes
brrti,berarti
netijen,warganet
netizen,warganet
brti,berarti
bruakakakak,wkwk
brumob,brigade mobil
nga,tidak
brussels,brussel
brwajah,berwajah
ngaca,mengaca
bs,bisa
ngaco,kacau
bsa,bisa
bsk,besok
ngadain,mengadakan
ngadepin,menghadapi
ngadmin,admin
btl,betul
ngahok,ahoker
ngajak,mengajak
btp,ahok
ngajar,mengajar
ngajarin,mengajarkan
ngajarkan,mengajarkan
ngaji,mengaji
btw,by the way
ngajinya,mengajinya
ngak,tidak
ngakak,mengakak
buajingan,bajingan
ngaku,mengakui
buanyak,banyak
ngakunya,mengakunya
c,c
bubarin,bubarkan
ngalor,ke utara
budeg,budek
budha,buddha
budhaisme,buddhaisme
ngambil,mengambil
ngamen,mengamen
ngamfrak,ngamprah
ngamuk,mengamuk
ngancam,mengancam
bukannn,bukan
bukansamawi,bukan samawi
bukber,buka bersama
nganggur,menganggur
ngangkang,mengangkang
buktikan,buktikan
buktikn,buktikan
bul,bohong
ngantri,mengantre
ngantuk,mengantuk
nganu,anu
ngapa,kenapa
ngapain,apa
bumn,badan usaha milik negara
ngarang,garang
ngarep,mengharap
ngaruh,berpengaruh
ngasi,memberi
ngasih,memberi
buraq,burak
burjo,bubur kacang ijo
ngata,kata
burqa,burka
ngatain,memaki
buuktikan,buktikan
ngebacot,bacot
ngebahas,membahas
bw,bawa
ngebangkang,membangkang
ngebantai,membantai
bwahaha,haha
bwahahahhahha,haha
bwahahhahaha,haha
ngebayang,membayang
bwa,bawa
ngebelain,membela
bwh,bawah
bwsdn,baswedan
bwt,buat
byak,banyak
byk,banyak
ngebokep,menonton bokep
ngebom,mengebom
bynk,banyak
ngebuktiin,membuktikan
byr,bayar
cabecabeaan,cabe cabean
cabol,cabul
cabut,pergi
ngedeketin,mendekati
cacad,cacat
ngeeooahahahaaaaaaa,haha
cakep,cakap
ngegabungin,menggabungkan
cakimin,cak imin
ngegas,marah
ngegoblogan,ngegoblokin
ngeh,tahu
ngehe,ngehek
ngehinanya,menghinanya
ngejadiin,menjadikan
ngejek,mengejek
ngejelek,menjelekkan
ngejelekin,menjelekkan
ngejorokin,menjorokkan
ngeladenin,meladeni
ngelakui,melakukan
ngelaporin,melaporkan
ngelarang,melarang
ngelatur,melantur
ngelawan,melawan
cape,lelah
ngeles,menghindar
ngeliat,melihat
capernya,cari perhatiannya
capres,calon presiden
capresnya,calon presidennya
ngeluarin,mengeluarkan
ngeluhnya,mengeluhnya
ngemeng,bicara
ngemesin,menggemaskan
ngemis,mengemis
ngene,ini
cawapres,calon wakil presiden
cawagub,calon wakil gubernur
ngentat,ngentot
ngentod,ngentot
cawapresnya,calon wakil presidennya
cb,coba
ccd,cacat
ngents,kangen
cebon,kecebong
cebong,kecebong
ngeper,mengeper
ngerasa,merasa
ngerayain,merayakan
celsi,chelsea
ngerih,mengerikan
cemen,takut
suciku,suci
ngeroyok,mengeroyok
ngerti,mengerti
cengkudu,mengkudu
ngertiin,mengerti
cepet,cepat
ngertilah,mengertilah
ngerto,mengerti
ngerusak,merusak
ngeshare,membagikan
cetan,setan
ngetuit,mentwit
ngetweet,mentwit
ngetwit,mentwit
cewe,wanita
cewek,wanita
ngeue,ngewe
cewenya,wanitanya
ngga,tidak
nggak,tidak
nggo,untuk
nggonggong,menggonggong
chebong,kecebong
china,cina
chinese,cina
ngibul,bohong
ngikutin,mengikuti
ngilangin,menghilangkan
ngilmu,berilmu
ciee,wah
cie,wah
ngimpi,memimpikan
cillik,kecil
cin,cinta
ngira,mengira
cini,sini
cino,cina
cipiit,sipit
ciribkhas,ciri khas
ngk,tidak
ngledekin,meledeki
ngliatnya,melihatnya
ngmg,berbicara
ngmng,berbicara
ckakakakak,wkwk
ckckck,ckck
ckckckck,ckck
ckp,cukup
ngoahahah,haha
ngoahahaha,haha
ngobarkan,mengobarkan
clasic,klasik
ngoceh,mengoceh
ngocok,mengocok
cm,cuma
cma,cuma
cman,cuma
cmiiw,correct me if i am wrong
cmn,cuma
ngomong,bicara
ngomongmu,bicaramu
ngomongnya,bicaranya
ngomonv,bicara
ngono,begitu
ngooaaahahaaa,haha
ngopi,minum kopi
ngopo,kenapa
ngorak,mengusir
ngorbanin,mengorbankan
ngotot,mengotot
cocoklogi,cocokologi
ngpain,apa
ngr,besar rasa
ngritik,mengkritik
coment,komen
nguap,menguap
comment,komen
ngulang,mengulang
ngumbar,mengumbar
ngumpet,mengumpet
ngumpul,berkumpul
congrats,congratulation
congrat,selamat
ngungsi,mengungsi
contekan,sontekan
ngurus,mengurus
ngurusi,mengurusi
ngurusin,mengurus
ngutang,berutang
ngutangi,mengutangi
countrie,country
cowo,pria
cowok,pria
cowonya,prianya
cp,contact person
cpns,calon pegawai negeri sipil
cr,cristiano ronaldo
crita,cerita
cs,rekan
cth,contoh
ni,nih
nich,nih
nie,nih
nihh,nih
cuih,cih
nii,nih
cuihhh,cuih
cuihhhhhhh,cuih
niiih,nih
cukk,cuk
nikahin,nikahi
cuma,hanya
cuman,hanya
nilep,menilap
cunnnn,cun
ninggalin,meninggalkan
cuuyy,coy
nipu,menipu
cwe,wanita
cwek,wanita
cyberarmy,cyber army
cyin,cinta
cyinta,cinta
cz,soalnya
d,di
da,dan
l,I
dah,sudah
dajal,dajjal
njilat,jilat
njing,anjing
njlentrek,jlentrek
dalm,dalam
danain,danai
nk,nak
danhatikecilkubicara,dan hati kecilku bicara
dapa,ada apa
dapet,dapat
dapetin,mendapatkan
dapil,daerah pemilihan
darimana,dari mana
darulaman,darul aman
daruratdemokrasi,darurat demokrasi
daruratduniaperadilanindonesia,darurat dunia peradilan indonesia
daruratpki,darurat partai komunis indonesia
dasaaaar,dasar
dasadasar,dasar dasar
dasr,dasar
datangin,mendatangi
dateng,datang
dbodohi,dbodohi
dbsk,dibesuk
dbunuh,dibunuh
ddahului,didahului
dduk,duduk
de,deh
debatfinalpilkadajkt,debat final pilkada jakarta
dech,deh
dehh,deh
dek,adik
dekalarasi,deklarasi
deket,dekat
nkri,negara kesatuan republik indonesia
delok,lihat
demen,suka
somplak,jatuh
mengidentifikasi,identifikasi
denger,dengar
dengerin,dengarkan
dengn,dengan
densus,betasemen khusus
depermasalahkan,dipermasalahkan
desc,describe
dg,dengan
dgan,dengan
dgn,dengan
dh,sudah
dhe,deh
dholimi,zalimi
diaa,dia
diajarin,diajari
diamlo,diam kamu
dianggsp,dianggap
diatas,di atas
diawal,di awal
dibales,dibalas
dibangkitin,dibangkitkan
dibawah,di bawah
dibelakang,di belakang
dibenerin,dibenarkan
diberitain,diberitakan
dibiarin,dibiarkan
dibikin,dibuat
nmr,nomor
butek,kusam
dibodohin,dibodohi
dibriefing,dipengarahan
dibubari,dibubarkan
dibubarin,dibubarkan
dibui,di bui
dibumi,di bumi
jerawatan,jerrawat
diceritain,diceritakan
dicomberan,di comberan
nngebah,bahas
didalam,di dalam
omelin,marah
didanau,di danau
didepan,di depan
didn,did not
didptkn,didapatkan
nnti,nanti
didumay,di dunia maya
nntn,menonton
die,dia
diem,diam
diemin,diamkan
dientotin,dientot
dienyek,diejek
nobar,menonton bareng
nobel,nobel
nobodylikes,nobody likes
noh,itu
digedein,dibesarkan
digebukin,digebuki
digereja,di gereja
noks,oke
diginiin,dibeginikan
digituin,dibegitukan
dih,ih
dihabisin,dihabiskan
dihalaman,di halaman
dihebohin,dihebohkan
nonton,menonton
diijinkan,diizinkan
noo,no
